config,pods,duration_seconds,intervals,min_cpu,max_cpu,avg_cpu,min_memory,max_memory,avg_memory,cpu_cost,memory_cost,total_cost,total_requests,avg_of_max_rps,avg_achieved_rps,cost_per_rps,cost_per_million_requests
Python A1 (1 pod),1,445.103786,199,3,96,73.68844221105527,43,52,50.31658291457286,0.0005906637390419998,4.3742529087890615e-05,0.0006344062681298904,9233,31.53,25.646666666666665,2.012071893846782e-05,0.068710740618422
Python A2 (1 pod),1,446.47016799999994,200,3,95,72.755,43,52,50.495,0.00058505094288,4.4033241380859375e-05,0.0006290841842608594,9355,32.12,25.986666666666665,1.9585435375493757e-05,0.0672457706318396
Python A3 (1 pod),1,447.17779299999995,200,4,97,73.6,43,53,51.035,0.00059320676367,4.457635804296873e-05,0.0006377831217129688,9416,32.5,26.156666666666666,1.962409605270673e-05,0.06773397639262625
Python A4 (1 pod),1,447.08948,200,3,97,73.265,42,51,50.15,0.00059044108131,4.379352376367186e-05,0.0006342346050736718,9504,32.8,26.400000000000002,1.9336420886392435e-05,0.06673343908603449
Python A5 (1 pod),1,446.908599,200,4,95,73.48,42,52,50.11,0.0005917133981879999,4.374449316796873e-05,0.0006354578913559687,9560,33.09,26.545,1.9203925396070373e-05,0.06647049072761178
NodeJS A1 (1 pod),1,445.818302,200,8,96,72.605,37,60,52.88,0.0005830233609059999,4.607843709765626e-05,0.0006291017980036562,9497,32.76,26.38,1.9203351587413194e-05,0.0662421604721129
NodeJS A2 (1 pod),1,446.90654800000004,200,25,93,73.91,36,58,51.445,0.0005948912507220002,4.493113687890623e-05,0.0006398223876009064,9311,31.73,25.86333333333333,2.016458832653345e-05,0.06871682822477784
NodeJS A3 (1 pod),1,445.667253,200,0,89,72.805,0,55,50.62,0.0005845601669400003,4.4089183820312485e-05,0.0006286493507603127,9326,31.81,25.905,1.9762632843769655e-05,0.06740825120741076
NodeJS A4 (1 pod),1,445.918208,200,0,91,74.475,0,61,53.365,0.0005983703363520002,4.652237862304684e-05,0.000644892714975047,9395,32.19,26.096666666666664,2.003394578984303e-05,0.06864211974188898
NodeJS A5 (1 pod),1,446.425254,200,0,92,71.85,0,59,51.895,0.0005778964382760004,4.528568256054686e-05,0.0006231821208365473,9568,33.16,26.578333333333333,1.879318820375595e-05,0.06513191062254885
Go A1 (1 pod),1,446.53303600000004,200,0,81,63.32,0,26,24.41,0.0005093026092720001,2.130115768945313e-05,0.0005306037669614533,9418,32.32,26.159999999999997,1.6417195759945955e-05,0.05633932543655269
Go A2 (1 pod),1,446.94882599999994,200,15,80,62.565,11,27,24.87,0.000503579104614,2.1716637326171886e-05,0.0005252957419401718,9268,31.49,25.743333333333336,1.6681350966661537e-05,0.05667843568625073
Go A3 (1 pod),1,446.44849800000003,200,0,81,61.85,0,26,24.385,0.0004976253504720001,2.1276528396484364e-05,0.0005189018788684844,9635,33.53,26.763333333333335,1.5475749444332968e-05,0.053855929306537036
Go A4 (1 pod),1,446.143287,200,0,82,61.475,0,26,24.105,0.0004940853364080001,2.1016368714843766e-05,0.0005151017051228439,9621,33.45,26.726666666666663,1.5399154114285318e-05,0.053539310375516465
Go A5 (1 pod),1,446.78376599999996,200,0,80,61.15,0,27,24.39,0.0004921530837120001,2.129751323632812e-05,0.0005134505969483282,9605,33.36,26.679999999999996,1.539120494449425e-05,0.053456595205448015
