config,pods,duration_seconds,intervals,min_cpu,max_cpu,avg_cpu,min_memory,max_memory,avg_memory,cpu_cost,memory_cost,compute_cost,total_requests,avg_of_max_rps,avg_achieved_rps,cost_per_rps,request_cost,total_cost,compute_percentage,request_percentage
Python C1 (1 pod),1,1405.105925,625,6,166,121.4832,43,83,64.0752,0.004100895222672001,0.0002200654666186523,0.004320960689290653,93075,108.52,73.86809523809525,0.0003828875846783142,0.037230000000000006,0.04155096068929066,10.399183599151625,89.60081640084839
Python C2 (2 pods),2,2997.882815,1312,7,314,199.75381097560975,85,150,121.1829268292683,0.014463460117104018,0.0008883809023583984,0.015351841019462418,313375,202.7,130.76948717948721,0.0006941383375405152,0.12535000000000002,0.14070184101946243,10.910902734626543,89.08909726537347
Python C3 (4 pods),4,4286.539042,1780,13,606,428.26741573033706,186,267,235.26966292134833,0.04455403148791205,0.002469878479531249,0.0470239099674433,918112,394.94,231.83939393939397,0.0010489408770128206,0.36724480000000004,0.41426870996744336,11.351064861050892,88.6489351389491
Python C4 (7 pods),7,4662.007989,1909,21,931,618.6946045049764,316,393,377.73651126244107,0.07020370242206403,0.00430270617099609,0.07450640859306012,1118303,430.09,258.8613888888889,0.0012132986318981148,0.44732120000000003,0.5218276085930602,14.277973676774714,85.72202632322528
Python C5 (8 pods),8,4663.324391,1887,23,1015,664.1822999470058,344,431,417.4546899841018,0.07555393828821606,0.004756242640432126,0.0803101809286482,1112558,425.19,257.51930555555555,0.001235526190476371,0.4450232,0.5253333809286482,15.287469603907786,84.7125303960922
NodeJS C1 (1 pod),1,1405.7641640000002,623,0,131,99.61637239165329,0,107,81.37399678972713,0.003364060678296002,0.0002797336235424805,0.0036437943018384827,92800,108.21,73.64714285714285,0.0003767100480716984,0.03712,0.040763794301838484,8.938800629935825,91.06119937006417
NodeJS C2 (2 pods),2,2489.5185109999998,1075,0,266,190.93581395348838,0,189,147.02139534883722,0.011450749001399979,0.0008963920073828136,0.012347141008782793,272688,210.57,126.23000000000002,0.0005766364677246655,0.1090752,0.1214223410087828,10.168755524067596,89.83124447593241
NodeJS C3 (4 pods),4,4736.924891,1989,6,550,371.9959778783308,153,350,289.06586224233286,0.04258143560517605,0.003358062192031253,0.0459394977972073,1095412,416.99,251.01611111111112,0.0011609494179649568,0.4381648,0.4841042977972073,9.48958685271815,90.51041314728185
NodeJS C4 (7 pods),7,6965.831926999999,2718,7,917,628.4974245768948,262,574,481.74650478292864,0.10729799496552002,0.008279924096877441,0.11557791906239746,2454380,639.38,378.7346296296296,0.0017162406066226618,0.9817520000000001,1.0973299190623975,10.53264994006104,89.46735005993897
NodeJS C5 (8 pods),8,4661.934938,1888,40,902,606.9465042372881,309,595,505.896186440678,0.06897402917087993,0.005789325477121583,0.07476335464800152,1117283,428.56,258.61611111111114,0.0012172777549188014,0.4469132,0.5216765546480016,14.331361833664863,85.66863816633513
Go C1 (1 pod),1,1404.714802,627,1,104,79.57416267942584,13,54,35.99840510366826,0.0026849771766720033,0.0001236724826196289,0.002808649659291632,93612,109.97,74.2947619047619,0.00036604028061554636,0.0374448,0.04025344965929163,6.977413570921906,93.02258642907809
Go C2 (2 pods),2,2492.343955,1066,3,215,154.23264540337712,24,92,64.85272045028142,0.009235848358008001,0.0003979127952636727,0.009633761153271674,269456,198.24,124.74777777777778,0.0005922929840257852,0.1077824,0.11741616115327168,8.204799968460934,91.79520003153905
Go C3 (4 pods),4,4862.041201,2040,4,417,306.4049019607843,49,140,120.04019607843138,0.035959659008183945,0.0014297062590014654,0.03738936526718541,1166902,422.45,259.29760000000005,0.0011933960593376387,0.4667608000000001,0.5041501652671855,7.416315186045826,92.58368481395418
Go C4 (7 pods),7,7222.85339,2816,7,731,526.8544034090909,85,217,196.9229403409091,0.09317280919293572,0.0034908014648315396,0.09666361065776725,2605034,650.51,391.09549549549547,0.0017504376729916022,1.0420136,1.1386772106577672,8.48911436472226,91.51088563527775
Go C5 (8 pods),8,8180.538377,3216,12,848,611.6937189054727,102,244,227.17319651741295,0.12213082783965608,0.004553367335690924,0.12668419517534701,3457711,747.08,457.3503174603175,0.0020208928028796745,1.3830844000000002,1.5097685951753472,8.390967700625254,91.60903229937475
